adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000950170-24-127837	730272	REPLIGEN CORP	2836	US	MA	WALTHAM	02453	41 SEYON STREET	BUILDING 1, SUITE 100	7814499560	US	MA	WALTHAM	02453	41 SEYON STREET	BUILDING 1, SUITE 100	US	DE	042729386			1-LAF	0	1231	10-Q/A	20230331	2023	Q1	20241118	2024-11-18 12:02:00.0	0	1	rgen-20230331_htm.xml	1	
0000890564-24-000022	890564	ASGN INC	7363	US	VA	GLEN ALLEN	23060	4400 COX ROAD, SUITE 110		8188787900	US	VA	GLEN ALLEN	23060	4400 COX ROAD, SUITE 110		US	DE	954023433	ON ASSIGNMENT INC	19930328	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241031	2024-10-30 18:52:00.0	0	1	asgn-20240930_htm.xml	1	
0001825248-24-000018	1825248	FRANKLIN BSP CAPITAL CORP		US	NY	NEW YORK	10019	9 WEST 57TH STREET	SUITE 4920	(212) 588-6700	US	NY	NEW YORK	10019	9 WEST 57TH STREET	SUITE 4920	US	DE	000000000	FRANKLIN BSP CAPITAL L.L.C.	20200917	4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 14:11:00.0	0	1	fbcc-20240930_htm.xml	1	
0001213900-24-095832	1828805	AELUMA, INC.	3674	US	CA	GOLETA	93117	27 CASTILIAN DRIVE		805-351-2707	US	CA	GOLETA	93117	27 CASTILIAN DRIVE		US	DE	852807351	PARC INVESTMENTS, INC.	20201016	4-NON	0	0630	10-Q	20240930	2025	Q1	20241108	2024-11-08 15:01:00.0	0	1	ea0220410-10q_aeluma_htm.xml	1	
0001628280-24-045708	1409493	CHIMERA INVESTMENT CORP	6798	US	NY	NEW YORK	10022	520 MADISON AVENUE	32ND FLOOR	212-626-2300	US	NY	NEW YORK	10022	520 MADISON AVENUE	32ND FLOOR	US	MD	260630461			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241106	2024-11-06 16:12:00.0	0	1	cim-20240930_htm.xml	1	
0001213900-24-095908	1881551	SOLIDION TECHNOLOGY INC.	3690	US	TX	DALLAS	75240	13355 NOEL ROAD	SUITE 1100	(972) 918-5120	US	TX	DALLAS	75240	13355 NOEL ROAD	SUITE 1100	US	DE	871993879	NUBIA BRAND INTERNATIONAL CORP.	20210902	4-NON	0	1231	S-1/A	20240630			20241108	2024-11-08 16:23:00.0	0	1	ea0213909-04_htm.xml	1	
0001493152-24-049730	1785493	PHOENIX PLUS CORP.	1700	MY		KUALA LUMPUR	58200	2-3 & 2-5 BEDFORD BUSINESS PARK	JALAN 3/137B, BATU 5, JALAN KELANG LAMA	85281200914	MY		KUALA LUMPUR	58200	2-3 & 2-5 BEDFORD BUSINESS PARK	JALAN 3/137B, BATU 5, JALAN KELANG LAMA	US	NV	611907981			4-NON	0	0731	10-Q	20241031	2025	Q1	20241212	2024-12-12 07:32:00.0	0	1	form10-q_htm.xml	1	
0001410578-24-001681	1963088	ATLASCLEAR HOLDINGS, INC.	6199	US	FL	TAMPA	33629	4030 HENDERSON BLVD., SUITE 712		813-257-9366	US	FL	TAMPA	33629	4030 HENDERSON BLVD., SUITE 712		US	DE	000000000	CALCULATOR NEW PUBCO, INC.	20230120	4-NON	0	0630	10-KT	20240630	2024	FY	20241016	2024-10-15 17:48:00.0	0	1	tmb-20240630x10kt_htm.xml	1	
0001213900-24-088185	1981662	NEWGENIVF GROUP LTD	8090	TH		BANGKOK	0000	13/F, PS TOWER, SUKHUMVIT 21 RD (ASOKE)		852-2861-1666	HK		HONG KONG	999077	1/F, PIER 2, CENTRAL		VG		000000000	ASPAC I MINI ACQUISITION CORP.	20230614	4-NON	0		F-1/A	20240630			20241016	2024-10-16 16:43:00.0	1	1	ea0217480-f1a2_newgen_htm.xml	1	
0001493152-24-046795	1119190	HUMBL, INC.	5000	US	CT	NEW CANAAN	06840	26 CROSS STREET		203-930-7427	US	CT	NEW CANAAN	06840	26 CROSS STREET		US	DE	271296318	TESORO ENTERPRISES, INC.	20100712	4-NON	0	1231	10-Q	20240930	2024	Q3	20241119	2024-11-19 16:01:00.0	0	1	form10-q_htm.xml	1	
0001976927-24-000043	1976927	INVESCO COMMERCIAL REAL ESTATE FINANCE TRUST, INC.	6798	US	TX	DALLAS	75201	2300 N FIELD STREET, SUITE 1200		972-715-7400	US	TX	DALLAS	75201	2300 N FIELD STREET, SUITE 1200		US	MD	921080856			4-NON	0	1231	10-Q	20240930	2024	Q3	20241113	2024-11-13 16:39:00.0	0	1	incref-20240930_htm.xml	1	
0001410578-24-001668	1985062	PSYENCE BIOMEDICAL LTD.	2834	CA	ON	TORONTO	M5H 2K1	121 RICHMOND STREET WEST PENTHOUSE	SUITE 1300	27744604171	CA	ON	TORONTO	M5H 2K1	121 RICHMOND STREET WEST PENTHOUSE	SUITE 1300	CA	ON	000000000			4-NON	0	0331	F-1	20240331			20241002	2024-10-02 16:07:00.0	0	1	pbm-20240331xf1_htm.xml	1	
0001781162-24-000021	1781162	MOMENTUS INC.	3760	US	CA	VENICE BEACH	90291	1345 ABBOT KINNEY BLVD.		2137936507	US	CA	VENICE BEACH	90291	1345 ABBOT KINNEY BLVD.		US	DE	841905538	STABLE ROAD ACQUISITION CORP.	20190628	4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 16:54:00.0	0	1	mnts-20240930_htm.xml	1	
0000314489-24-000268	314489	FIRST BUSEY CORP /NV/	6022	US	IL	URBANA	61801	201 W MAIN STREET		2173654544	US	IL	URBANA	61801	201 W MAIN STREET	PO BOX 123	US	NV	371078406			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241105	2024-11-05 16:02:00.0	0	1	buse-20240930_htm.xml	1	
0001801661-24-000141	1801661	SKILLZ INC.	7374	US	NV	LAS VEGAS	89118	6625 BADURA AVENUE		415-762-0511	US	NV	LAS VEGAS	89118	6625 BADURA AVENUE		US	DE	844478274	FLYING EAGLE ACQUISITION CORP.	20200130	2-ACC	0	1231	10-Q	20240930	2024	Q3	20241108	2024-11-08 16:25:00.0	0	1	sklz-20240930_htm.xml	1	
0001079973-24-001391	1570132	ANVI GLOBAL HOLDINGS, INC.	5400	US	NC	CARY	27511	1135 KILDAIRE FARM ROAD	SUITE 319-4	408 821 4491	US	NC	CARY	27511	1135 KILDAIRE FARM ROAD	SUITE 319-4	US	NV	331226144	VETRO, INC.	20130220	4-NON	0	0229	10-Q	20240831	2025	Q2	20241011	2024-10-11 16:30:00.0	0	1	anvi_10q-083124_htm.xml	1	
0001558370-24-014888	1377121	PROTAGONIST THERAPEUTICS, INC	2834	US	CA	NEWARK	94560-1160	7707 GATEWAY BLVD., SUITE 140		(510) 474-0170	US	CA	NEWARK	94560-1160	7707 GATEWAY BLVD., SUITE 140		US	DE	980505495	PROTAGONIST THERAPEUTICS INC	20130605	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241107	2024-11-07 16:40:00.0	0	1	ptgx-20240930x10q_htm.xml	1	
0001171843-24-006378	1070296	FIRST CAPITAL INC	6035	US	IN	CORYDON	47112	220 FEDERAL DRIVE N W		8127382198	US	IN	CORYDON	47112	220 FEDERAL DRIVE N W		US	IN	352056949			4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 16:31:00.0	0	1	fcap20240930_10q_htm.xml	1	
0000818479-24-000093	818479	DENTSPLY SIRONA INC.	3843	US	NC	CHARLOTTE	28277-3607	13320 BALLANTYNE CORPORATE PLACE		844-546-3722	US	NC	CHARLOTTE	28277-3607	13320 BALLANTYNE CORPORATE PLACE		US	DE	391434669	DENTSPLY INTERNATIONAL INC /DE/	19930630	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241107	2024-11-07 16:02:00.0	0	1	xray-20240930_htm.xml	1	
0001477932-24-007122	1425627	SOBR SAFE, INC.	2721	US	CO	GREENWOOD VILLAGE	80111	6400 S. FIDDLERS GREEN CIRCLE	SUITE 1400	844-762-7723	US	CO	GREENWOOD VILLAGE	80111	6400 S. FIDDLERS GREEN CIRCLE	SUITE 1400	US	DE	260731818	TRANSBIOTEC, INC.	20120302	4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-13 20:01:00.0	0	1	sobr_10q_htm.xml	1	
0001493152-24-043382	1817004	EZFILL HOLDINGS INC	5500	US	FL	MIAMI	33169	67 NW 183RD ST		305-791-1169	US	FL	MIAMI	33169	67 NW 183RD ST		US	DE	834260623			4-NON	0	1231	S-1/A	20240630			20241101	2024-11-01 17:30:00.0	1	1	forms-1a_htm.xml	1	
0001561550-24-000175	1561550	DATADOG, INC.	7372	US	NY	NEW YORK	10018	620 EIGHTH AVENUE, 45TH FLOOR		866-329-4466	US	NY	NEW YORK	10018	620 EIGHTH AVENUE, 45TH FLOOR		US	DE	272825503			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241108	2024-11-08 07:34:00.0	0	1	ddog-20240930_htm.xml	1	
0001689375-24-000063	1689375	ENTRADA THERAPEUTICS, INC.	2834	US	MA	BOSTON	02210	ONE DESIGN CENTER PLACE	SUITE 17-500	857-305-1825	US	MA	BOSTON	02210	ONE DESIGN CENTER PLACE	SUITE 17-500	US	DE	813983399	CYCLOPORTERS, INC.	20161104	4-NON	0	1231	10-Q	20240930	2024	Q3	20241105	2024-11-05 07:12:00.0	0	1	trda-20240930_htm.xml	1	
0000950170-24-118307	918646	EAGLE MATERIALS INC	3241	US	TX	DALLAS	75225	5960 BERKSHIRE LANE	SUITE 900	214-432-2000	US	TX	DALLAS	75225	5960 BERKSHIRE LANE	SUITE 900	US	DE	752520779	CENTEX CONSTRUCTION PRODUCTS INC	19940204	1-LAF	0	0331	10-Q	20240930	2024	Q2	20241029	2024-10-29 16:38:00.0	0	1	exp-20240930_htm.xml	1	
0000950170-24-121818	1819133	TANGO THERAPEUTICS, INC.	2834	US	MA	BOSTON	02215	201 BROOKLINE AVENUE	SUITE 901	(857) 320-4900	US	MA	BOSTON	02215	201 BROOKLINE AVENUE	SUITE 901	US	DE	000000000	BCTG ACQUISITION CORP.	20200723	4-NON	0	1231	10-Q	20240930	2024	Q3	20241106	2024-11-06 07:43:00.0	0	1	tngx-20240930_htm.xml	1	
0000874716-24-000139	874716	IDEXX LABORATORIES INC /DE	2835	US	ME	WESTBROOK	04092-2041	ONE IDEXX DRIVE		2075560300	US	ME	WESTBROOK	04092-2041	ONE IDEXX DRIVE		US	DE	010393723	IDEXX CORP / DE	19600201	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241031	2024-10-31 16:15:00.0	0	1	idxx-20240930_htm.xml	1	
0000950170-24-125387	1389002	MARIN SOFTWARE INC	7374	US	CA	SAN FRANCISCO	94105	123 MISSION ST	25TH FLOOR	415-399-2580	US	CA	SAN FRANCISCO	94105	123 MISSION ST	25TH FLOOR	US	DE	204647180			4-NON	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 16:10:00.0	0	1	mrin-20240930_htm.xml	1	
0001729149-24-000210	1729149	VIEMED HEALTHCARE, INC.	8090	US	LA	LAFAYETTE	70508	625 E. KALISTE SALOOM RD.		337.504.3802	US	LA	LAFAYETTE	70508	625 E. KALISTE SALOOM RD.		CA	BC	000000000			2-ACC	0	1231	10-Q	20240930	2024	Q3	20241106	2024-11-06 16:48:00.0	0	1	vmd-20240930_htm.xml	1	
0001493152-24-051847	1679628	JUPITER NEUROSCIENCES, INC.	2834	US	FL	JUPITER	33477	1001 NORTH US HWY 1	SUITE 504	(561) 406-6154	US	FL	JUPITER	33477	1001 NORTH US HWY 1	SUITE 504	US	DE	474828381	JUPITER ORPHAN THERAPEUTICS, INC.	20160713	4-NON	0	1231	10-Q	20240930	2024	Q3	20241223	2024-12-23 16:47:00.0	0	1	form10-q_htm.xml	1	
0001213900-24-097455	1854275	ZOOMCAR HOLDINGS, INC.	7510	IN		BANGALORE	560008	ANJANEYA TECHNO PARK, NO.147, 1ST FLOOR	KODIHALLI	91 99454-8382	IN		BANGALORE	560008	ANJANEYA TECHNO PARK, NO.147, 1ST FLOOR	KODIHALLI	KY		000000000	INNOVATIVE INTERNATIONAL ACQUISITION CORP.	20210331	4-NON	0	0331	10-Q	20240930	2024	Q2	20241113	2024-11-13 16:06:00.0	0	1	ea0220498-10q_zoom_htm.xml	1	
0000950170-24-125625	88000	HORIZON KINETICS HOLDING CORP	2844	US	NY	NEW YORK	10016	470 PARK AVE S.		6462912300	US	NY	NEW YORK	10016	470 PARK AVE S.		US	DE	840920811	SCOTT'S LIQUID GOLD - INC.	20180828	4-NON	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 17:00:00.0	0	1	slgdd-20240930_htm.xml	1	
0001493152-24-042734	1984076	METROS DEVELOPMENT CO., LTD.	6552	JP		TOKYO	104-0061	GINZA SANNO BUILDING 7F, 4-10-10,	GINZA, CHUO-KU	81 3-6457-9420	JP		TOKYO	104-0061	GINZA SANNO BUILDING 7F, 4-10-10,	GINZA, CHUO-KU	JP		000000000				0	1130	F-1/A	20240531			20241028	2024-10-28 17:29:00.0	1	1	formf-1a_htm.xml	1	
0001717547-24-000089	1717547	BRIGHTSPIRE CAPITAL, INC.	6798	US	NY	NEW YORK	10022	590 MADISON AVENUE	33RD FLOOR	212-547-2631	US	NY	NEW YORK	10022	590 MADISON AVENUE	33RD FLOOR	US	MD	384046290	COLONY CREDIT REAL ESTATE, INC.	20180621	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241030	2024-10-30 17:00:00.0	0	1	brsp-20240930_htm.xml	1	
0001437749-24-033131	1792849	HIGHPEAK ENERGY, INC.	1381	US	TX	FORT WORTH	76102	421 W. 3RD STREET	SUITE 1000	(817) 850-9200	US	TX	FORT WORTH	76102	421 W. 3RD STREET	SUITE 1000	US	DE	843533602			2-ACC	0	1231	10-Q	20240930	2024	Q3	20241104	2024-11-04 16:03:00.0	0	1	hpe20240930_10q_htm.xml	1	
0000089800-24-000157	89800	SHERWIN WILLIAMS CO	5200	US	OH	CLEVELAND	44115	101 PROSPECT AVE NW		2165662200	US	OH	CLEVELAND	44115	101 PROSPECT AVE NW		US	OH	340526850			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241022	2024-10-22 14:39:00.0	0	1	shw-20240930_htm.xml	1	
0000950170-24-118574	275880	PARSONS CORP	7373	US	VA	CENTREVILLE	20120	5875 TRINITY PKWY #300		703-988-8500	US	VA	CENTREVILLE	20120	5875 TRINITY PKWY #300		US	DE	953232481	PARSON CORP	20000101	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241030	2024-10-30 06:33:00.0	0	1	psn-20240930_htm.xml	1	
0001477932-24-006748	846377	TOTALIGENT, INC.	6153	US	FL	BOCA RATON	33431	2255 GLADES ROAD	SUITE 324A	561-988-2621	US	FL	BOCA RATON	33431	2255 GLADES ROAD	SUITE 324A	US	DE	800142655	ALLTEMP, INC.	20170428	4-NON	0	1231	10-Q	20240630	2024	Q2	20241030	2024-10-30 10:34:00.0	0	1	totaligent_10q_htm.xml	1	
0001410578-24-001890	1595527	AMERICAN STRATEGIC INVESTMENT CO.	6798	US	RI	NEWPORT	02840	222 BELLEVUE AVENUE		2124156500	US	RI	NEWPORT	02840	222 BELLEVUE AVENUE		US	MD	464380248	NEW YORK CITY REIT, INC.	20190313	4-NON	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 16:59:00.0	0	1	tmb-20240930x10q_htm.xml	1	
0001493152-24-041316	1826011	BANZAI INTERNATIONAL, INC.	7372	US	WA	BAINBRIDGE ISLAND	98110	435 ERICKSEN AVE	SUITE 308250	2064141777	US	WA	BAINBRIDGE ISLAND	98110	435 ERICKSEN AVE	SUITE 308250	US	DE	000000000	7GC & CO. HOLDINGS INC.	20200924	4-NON	0	1231	S-1	20240630			20241016	2024-10-16 17:09:00.0	0	1	forms-1_htm.xml	1	
0001145765-24-000014	1145765	GLOBAL MACRO TRUST	6221	US	CT	GREENWICH	06830	C/O MILLBURN CORP	411 WEST PUTNAM AVENUE	2036257554	US	CT	GREENWICH	06830	C/O MILLBURN CORP	411 WEST PUTNAM AVENUE	US	DE	000000000			4-NON	0	1231	10-Q	20240930	2024	Q3	20241113	2024-11-13 17:19:00.0	0	1	c765-20240930x10q_htm.xml	1	
0000920148-24-000118	920148	LABCORP HOLDINGS INC.	8071	US	NC	BURLINGTON	27215	358 S MAIN ST		3362291127	US	NC	BURLINGTON	27215	358 S MAIN ST				992588107	LABORATORY CORP OF AMERICA HOLDINGS	19950504	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241029	2024-10-29 11:36:00.0	0	1	lh-20240930_htm.xml	1	
0001410578-24-001994	1894057	PAPAYA GROWTH OPPORTUNITY CORP. I	6770	US	CA	OAKLAND	94612	52201 BROADWAY, SUITE 750		510-214-3751	US	CA	OAKLAND	94612	52201 BROADWAY, SUITE 750		US	DE	873071107			4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 16:32:00.0	0	1	ppya-20240930x10q_htm.xml	1	
0001213900-24-110341	1755058	ATIF HOLDINGS LTD	8742	US	CA	LAKE FOREST	92630	25391 COMMERCENTRE DR., STE 200		308-888-8888	US	CA	LAKE FOREST	92630	25391 COMMERCENTRE DR., STE 200		VG		000000000	ASIA TIMES HOLDINGS LTD	20181003	4-NON	0	0731	10-Q	20241031	2025	Q1	20241219	2024-12-19 09:30:00.0	0	1	ea0224664-10q_atifhold_htm.xml	1	
0001493152-24-041057	1438943	RANGE IMPACT, INC.	1600	US	OH	CLEVELAND	44122	200 PARK AVENUE	SUITE 400	530-231-7800	US	OH	CLEVELAND	44122	200 PARK AVENUE	SUITE 400	US	NV	753268988	MALACHITE INNOVATIONS, INC.	20211012	4-NON	0	1231	10-Q/A	20240630	2024	Q2	20241015	2024-10-15 09:02:00.0	0	1	form10-qa_htm.xml	1	
0001213900-24-097437	1912461	SK GROWTH OPPORTUNITIES CORP	6770	US	NY	NEW YORK	10003	228 PARK AVENUE S	#96693	917-740-1505	US	NY	NEW YORK	10003	228 PARK AVENUE S	#96693	KY		000000000			4-NON	0	1231	10-Q	20240930	2024	Q3	20241113	2024-11-13 16:01:00.0	0	1	ea0219063-10q_skgrowth_htm.xml	1	
0001628280-24-047186	1832511	P3 HEALTH PARTNERS INC.	8000	US	IL	CHICAGO	60612-1577	2045 W GRAND AVE STE B	PMB # 82152	312-822-8897	US	IL	CHICAGO	60612-1577	2045 W GRAND AVE STE B	PMB # 82152	US	DE	852992794	FORESIGHT ACQUISITION CORP.	20201116	2-ACC	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 16:26:00.0	0	1	piii-20240930_htm.xml	1	
0001327811-24-000242	1327811	WORKDAY, INC.	7374	US	CA	PLEASANTON	94588	6110 STONERIDGE MALL ROAD		925-951-9000	US	CA	PLEASANTON	94588	6110 STONERIDGE MALL ROAD		US	DE	202480422	WORKDAY INC	20050519	1-LAF	0	0131	10-Q	20241031	2025	Q3	20241205	2024-12-04 18:03:00.0	0	1	wday-20241031_htm.xml	1	
0000950170-24-126367	1868640	ROADZEN INC.	6411	US	CA	BURLINGAME	94010	111 ANZA BLVD., SUITE 109		650-414-3530	US	CA	BURLINGAME	94010	111 ANZA BLVD., SUITE 109		VG		981600102	VAHANNA TECH EDGE ACQUISITION I CORP.	20210621	4-NON	0	0331	10-Q	20240930	2025	Q2	20241113	2024-11-13 16:26:00.0	0	1	rdzn-20240930_htm.xml	1	
0000950170-24-133842	895447	SHOE CARNIVAL INC	5661	US	IN	EVANSVILLE	47715	7500 EAST COLUMBIA STREET		8128676471	US	IN	EVANSVILLE	47715	7500 EAST COLUMBIA STREET		US	IN	351736614			2-ACC	0	0131	10-Q	20241031	2024	Q3	20241206	2024-12-06 07:32:00.0	0	1	scvl-20241102_htm.xml	1	
0001379785-24-000065	1379785	BARINGS BDC, INC.		US	NC	CHARLOTTE	28202	300 SOUTH TRYON STREET	SUITE 2500	(704) 805-7200	US	NC	CHARLOTTE	28202	300 SOUTH TRYON STREET	SUITE 2500	US	NC	061798488	TRIANGLE CAPITAL CORP	20061101	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241106	2024-11-06 16:20:00.0	0	1	bbdc-20240930_htm.xml	1	
0000110471-24-000176	110471	WOLVERINE WORLD WIDE INC /DE/	3140	US	MI	ROCKFORD	49351	9341 COURTLAND DR		6168665500	US	MI	ROCKFORD	49351	9341 COURTLAND DR		US	MI	381185150			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241107	2024-11-07 16:03:00.0	0	1	www-20240928_htm.xml	1	
0001004315-24-000010	1004315	NATIONAL GRID PLC	4922	GB		LONDON	WC2N 5EH	1-3 STRAND		(44) 207 004 3220	GB		LONDON	WC2N 5EH	1-3 STRAND				980367158	NATIONAL GRID TRANSCO PLC	20021121	1-LAF	0	0331	6-K	20240930	2025	Q2	20241107	2024-11-07 06:14:00.0	0	1	nggtf-20240930_htm.xml	1	
0001628280-24-046464	1612630	JOINT CORP	6794	US	AZ	SCOTTSDALE	85260	16767 N PERIMETER DRIVE	SUITE 110	480 245 5960	US	AZ	SCOTTSDALE	85260	16767 N PERIMETER DRIVE	SUITE 110	US	DE	900544160			2-ACC	0	1231	10-Q	20240930	2024	Q3	20241108	2024-11-07 19:52:00.0	0	1	jynt-20240930_htm.xml	1	
0001410578-24-002113	1735556	BIT ORIGIN LTD	6199	SG		3 CHURCH STREET	049483	27F, SAMSUNG HUB		347-556-4747	SG		3 CHURCH STREET	049483	27F, SAMSUNG HUB		KY		000000000	CHINA XIANGTAI FOOD CO., LTD.	20180326	4-NON	0	0630	20-F	20240630	2024	FY	20241226	2024-12-26 17:21:00.0	0	1	btog-20240630x20f_htm.xml	1	
0001477932-24-008431	1683252	TOKEN COMMUNITIES LTD.	7374	US	FL	BRADENTON	34208	850 TIDEWATER SHORE LOOP	SUITE 402	2025365191	US	FL	BRADENTON	34208	850 TIDEWATER SHORE LOOP	SUITE 402	US	DE	813709511	PACIFIC MEDIA GROUP ENTERPRISES, INC.	20160829	4-NON	0	0630	10-K	20240630	2024	FY	20241231	2024-12-31 16:53:00.0	0	1	tkcm_10k_htm.xml	1	
0001493152-24-045213	1468929	NEXGEL, INC.	3841	US	PA	LANGHORNE	19047	2150 CABOT BLVD WEST,	SUITE B	215 702-8550	US	PA	LANGHORNE	19047	2150 CABOT BLVD WEST,	SUITE B	US	DE	264042544	AQUAMED TECHNOLOGIES, INC.	20090723	4-NON	0	1231	10-Q	20240930	2024	Q3	20241113	2024-11-13 17:29:00.0	0	1	form10-q_htm.xml	1	
0001213900-24-090875	1655923	ALPHA COGNITION INC.	2836	CA	BC	VANCOUVER	V6C 2T8	1200-750 W PENDER ST		(858) 344-4375	US	TX	FRISCO	75036	20073 FIDDLERS GREEN		CA	BC	000000000	NEURODYN COGNITION INC.	20151016	4-NON	0	1231	S-1/A	20240630			20241025	2024-10-25 17:28:00.0	1	1	ea0207296-06_htm.xml	1	
0001213900-24-108476	1784970	NEXT TECHNOLOGY HOLDING INC.	7374	CN		NANSHAN DISTRICT, SHENZHEN	518000	RM 519, 05/F, BLOCK T3, QIANHAI PREMIER	FINANCE CENTRE UNIT 2, GUIWAN AREA	852 96369080	CN		NANSHAN DISTRICT, SHENZHEN	518000	RM 519, 05/F, BLOCK T3, QIANHAI PREMIER	FINANCE CENTRE UNIT 2, GUIWAN AREA	US	WY	000000000	WETRADE GROUP INC.	20240402	4-NON	0	1231	10-Q/A	20240331	2024	Q1	20241212	2024-12-12 17:30:00.0	0	1	ea021981104-10qa2_nexttech_htm.xml	1	
0001173514-24-000144	1173514	HYSTER-YALE, INC.	3537	US	OH	CLEVELAND	44124	5875 LANDERBROOK DRIVE	SUITE 300	4404499600	US	OH	CLEVELAND	44124	5875 LANDERBROOK DRIVE	SUITE 300	US	DE	311637659	HYSTER-YALE MATERIALS HANDLING, INC.	20121003	2-ACC	0	1231	10-Q	20240930	2024	Q3	20241105	2024-11-05 06:35:00.0	0	0	hy-20240930_htm.xml	1	
0001185185-24-001105	1560452	TEXAS REPUBLIC CAPITAL CORP	6311	US	TX	AUSTIN	78738	13215 BEE CAVES PARKWAY		5123300099	US	TX	AUSTIN	78738	13215 BEE CAVES PARKWAY		US	TX	455311713			4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 08:57:00.0	0	1	trcc20240930_10q_htm.xml	1	
0001437749-24-032664	1141240	LIQUIDMETAL TECHNOLOGIES INC	2800	US	CA	LAKE FOREST	92630	20321 VALENCIA CIRCLE		800-511-3651	US	CA	LAKE FOREST	92630	20321 VALENCIA CIRCLE		US	DE	330264467	LIQUIDMETAL TECHNOLOGIES	20010523	4-NON	0	1231	10-Q	20240930	2024	Q3	20241031	2024-10-30 17:31:00.0	0	1	lqmt20240930_10q_htm.xml	1	
0001001614-24-000064	1001614	RILEY EXPLORATION PERMIAN, INC.	1311	US	OK	OKLAHOMA CITY	73104	29 E. RENO AVENUE	SUITE 500	405-415-8699	US	OK	OKLAHOMA CITY	73104	29 E. RENO AVENUE	SUITE 500	US	DE	870267438	TENGASCO INC	19960612	2-ACC	0	1231	10-Q	20240930	2024	Q3	20241106	2024-11-06 16:55:00.0	0	1	rep-20240930_htm.xml	1	
0001410578-24-001891	1571934	SYNAPTOGENIX, INC.	2834	US	NY	NEW YORK	10036	1185 AVENUE OF THE AMERICAS, 3RD FLOOR		9732420005	US	NY	NEW YORK	10036	1185 AVENUE OF THE AMERICAS, 3RD FLOOR		US	DE	461585656	NEUROTROPE BIOSCIENCE, INC.	20130312	4-NON	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 17:01:00.0	0	1	snpx-20240930x10q_htm.xml	1	
0000950170-24-119872	91882	DOMINION ENERGY SOUTH CAROLINA, INC.	4931	US	SC	CAYCE	29033	400 OTARRE PARKWAY		803-217-9000	US	SC	CAYCE	29033	220 OPERATION WAY	MAIL CODE B123	US	SC	570248695	SOUTH CAROLINA ELECTRIC & GAS CO	19920703	4-NON	0	1231	10-Q	20240930	2024	Q3	20241101	2024-11-01 11:03:00.0	0	1	ck0000091882-20240930_htm.xml	1	
0001493152-24-047317	1984076	METROS DEVELOPMENT CO., LTD.	6552	JP		TOKYO	104-0061	GINZA SANNO BUILDING 7F, 4-10-10,	GINZA, CHUO-KU	81 3-6457-9420	JP		TOKYO	104-0061	GINZA SANNO BUILDING 7F, 4-10-10,	GINZA, CHUO-KU	JP		000000000				0	1130	F-1/A	20240531			20241122	2024-11-22 11:37:00.0	0	1	formf-1a_htm.xml	1	
0000317540-24-000061	317540	COCA-COLA CONSOLIDATED, INC.	2086	US	NC	CHARLOTTE	28211	4100 COCA COLA PLZ		9803928298	US	NC	CHARLOTTE	28211	4100 COCA COLA PLZ		US	DE	560950585	COCA COLA BOTTLING CO CONSOLIDATED /DE/	19920703	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241030	2024-10-30 16:14:00.0	0	1	coke-20240927_htm.xml	1	
0001493152-24-045886	1068689	DATA443 RISK MITIGATION, INC.	7372	US	NC	RESEARCH TRIANGLE PARK	27709	4000 SANCAR WAY	SUITE 400	919-858-6542	US	NC	RESEARCH TRIANGLE PARK	27709	4000 SANCAR WAY	SUITE 400	US	NV	860914051	LANDSTAR, INC.	20181212	4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 16:16:00.0	0	1	form10-q_htm.xml	1	
